"Title","Category","ActionType","Service","MaxScore","Tier","UserImpact","ImplementationCost","Threats"
"Limit external participants from having control in a Teams meeting","Apps","Config","MS Teams","1","Core","low","low",""
"Restrict dial-in users from bypassing a meeting lobby ","Apps","Config","MS Teams","1","Core","low","low",""
"Restrict anonymous users from joining meetings","Apps","Config","MS Teams","1","Core","low","low","Data Exfiltration; Account Breach"
"Ensure multifactor authentication is enabled for all users","Identity","Config","AzureAD","9","Core","High","High","Password Cracking; Account Breach"
"Ensure that Auto-labeling data classification policies are set up and used","Data","Config","MIP","1","Core","High","Medium",""
"Ensure DLP policies are enabled for Microsoft Teams","Apps","Config","MIP","3","Core","Unknown","Unknown","Data Exfiltration"
"Ensure Office 365 Management Activity API is Enabled for some workloads (see description)","Apps","Config","MIP","3","Core",,"Unknown","Account breach; Data Exfiltration"
"Extend M365 sensitivity labeling to assets in Microsoft Purview data map","Data","Config","MIP","1","Core","High","Medium",""
"Ensure Microsoft 365 audit log search is Enabled","Apps","Config","MIP","3","Core",,"Unknown","Data Exfiltration; Account breach"
"Publish M365 sensitivity label data classification policies","Data","Config","MIP","2","Core","High","Medium",""
"Designate more than one global admin","Identity","Behavior","AzureAD","1","Core","Low","Low","Elevation of Privilege; Account Breach"
"Ensure that password hash sync is enabled for hybrid deployments","Identity","Config","AzureAD","5","Core","Low","Low","Password Cracking; Account Breach"
"Ensure the 'Password expiration policy' is set to 'Set passwords to never expire (recommended)'","Identity","Config","AzureAD","8","Defense In Depth","Moderate","Low","Password Cracking; Account Breach"
"Use least privileged administrative roles","Identity","Behavior","AzureAD","1","Defense In Depth","Low","Low","Account Breach; Elevation of Privilege; Malicious Insider"
"Disable JavaScript on Adobe Reader 2015","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable JavaScript on Adobe 2015","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable 'Local Security Authority (LSA) protection' on Windows 11 22h2 and higher","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Require LDAP client signing to prevent tampering and protect directory authentication","Device","Config","MDATP","7","Core","Unknown","Unknown",""
"Encrypt LDAP client traffic to protect sensitive data in transit","Device","Config","MDATP","7","Core","Unknown","Unknown",""
"Enforce LDAP channel binding to protect authentication sessions from interception","Device","Config","MDATP","7","Core","Unknown","Unknown",""
"Require LDAP server signing to ensure integrity of directory traffic","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Block outbound network connections from Microsoft HTML Application Host (mshta.exe)","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable Remote Registry Service on Windows","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable NTLM authentication for Windows","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Block file transfer over RDP","Device","Config","MDATP","7","Core","Unknown","Unknown",""
"SMB server security hardening against authentication relay attacks","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Ensure devices are updated to Secure Boot 2023 certificates and boot manager","Device","Config","MDATP","7","Core","Unknown","Unknown",""
"Reduce unnecessary inbound internet exposure on internet-facing devices","Device","Config","MDATP","7","Core","Unknown","Unknown",""
"Enable Automatic Updates","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable 'Hide Option to Enable or Disable Updates'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable 'Allow running plugins that are outdated'","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable 'Continue running background apps when Google Chrome is closed'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable 'AutoFill'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Turn on Microsoft Defender for Endpoint sensor","Device","Config","MDATP","10","Core","Unknown","Unknown",""
"Fix Microsoft Defender for Endpoint sensor data collection","Device","Config","MDATP","10","Core","Unknown","Unknown",""
"Fix Microsoft Defender for Endpoint impaired communications","Device","Config","MDATP","10","Core","Unknown","Unknown",""
"Turn on Tamper Protection","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Enable EDR in block mode","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Turn on Microsoft Defender Antivirus","Device","Config","MDATP","10","Core","Unknown","Unknown",""
"Update Microsoft Defender Antivirus definitions","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Turn on real-time protection","Device","Config","MDATP","10","Core","Unknown","Unknown",""
"Turn on PUA protection in block mode","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Fix Windows Defender Antivirus cloud service connectivity","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Enable cloud-delivered protection","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Turn on all system-level Exploit protection settings","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Set controlled folder access to enabled or audit mode","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Update Microsoft Defender for Endpoint core components","Device","Config","MDATP","10","Core","Unknown","Unknown",""
"Set Microsoft Defender SmartScreen app and file checking to block or warn","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Set Microsoft Defender SmartScreen Microsoft Edge site and download checking to block or warn","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Turn on Microsoft Defender Firewall","Device","Config","MDATP","10","Core","Unknown","Unknown",""
"Secure Microsoft Defender Firewall domain profile","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Secure Microsoft Defender firewall private profile","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Secure Microsoft Defender Firewall public profile","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Turn on Microsoft Defender Credential Guard","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Encrypt all BitLocker-supported drives","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Resume BitLocker protection on all drives","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Ensure BitLocker drive compatibility","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Block webpages from automatically running Flash plugins","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable UEFI Secure Boot mode","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Disable 'Password Manager'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable 'Block third party cookies'","Device","Config","MDATP","2","Core","Unknown","Unknown",""
"Set 'Remote Desktop security level' to 'TLS'","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Enable 'Local Security Authority (LSA) protection'","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Block executable content from email client and webmail","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Block all Office applications from creating child processes","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Block Office applications from creating executable content","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Block Office applications from injecting code into other processes","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Block JavaScript or VBScript from launching downloaded executable content","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Block execution of potentially obfuscated scripts","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Block Win32 API calls from Office macros","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Block executable files from running unless they meet a prevalence, age, or trusted list criterion","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Use advanced protection against ransomware","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Block credential stealing from the Windows local security authority subsystem (lsass.exe)","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Block process creations originating from PSExec and WMI commands","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Block untrusted and unsigned processes that run from USB","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Block Office communication application from creating child processes","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Block Adobe Reader from creating child processes","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Block persistence through WMI event subscription","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Block abuse of exploited vulnerable signed drivers","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Block Webshell creation for Servers","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Block use of copied or impersonated system tools","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Block rebooting machine in Safe Mode","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Enable 'Safe DLL Search Mode'","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Set User Account Control (UAC) to automatically deny elevation requests","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Set 'Interactive logon: Machine inactivity limit' to '1-900 seconds'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable 'Enumerate administrator accounts on elevation'","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable 'Insecure guest logons' in SMB","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Fix unquoted service path for Windows services","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Change service executable path to a common protected location","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Change service account to avoid cached password in windows registry","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable the built-in Administrator account","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable the built-in Guest account","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Set 'Minimum password length' to '14 or more characters'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Set 'Enforce password history' to '24 or more password(s)'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Set 'Maximum password age' to '60 or fewer days, but not 0'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Set 'Minimum password age' to '1 or more day(s)'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable 'Domain member: Require strong (Windows 2000 or later) session key'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable 'Domain member: Digitally encrypt or sign secure channel data (always)'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable Set 'Domain member: Digitally encrypt secure channel data (when possible)'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable 'Domain member: Digitally sign secure channel data (when possible)'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable 'Domain member: Disable machine account password changes'","Device","Config","MDATP","2","Core","Unknown","Unknown",""
"Disallow offline access to shares","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Remove share write permission set to ‘Everyone’","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Remove shares from the root folder","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Set folder access-based enumeration for shares","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Set 'Account lockout duration' to 15 minutes or more","Device","Config","MDATP","6","Core","Unknown","Unknown",""
"Set 'Reset account lockout counter after' to 15 minutes or more","Device","Config","MDATP","6","Core","Unknown","Unknown",""
"Disable Microsoft Defender Firewall notifications when programs are blocked for Domain profile","Device","Config","MDATP","2","Core","Unknown","Unknown",""
"Set 'Account lockout threshold' to 1-10 invalid login attempts","Device","Config","MDATP","6","Core","Unknown","Unknown",""
"Set user authentication for remote connections by using Network Level Authentication to 'Enabled'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable Microsoft Defender Firewall notifications when programs are blocked for Private profile","Device","Config","MDATP","2","Core","Unknown","Unknown",""
"Disable Microsoft Defender Firewall notifications when programs are blocked for Public profile","Device","Config","MDATP","2","Core","Unknown","Unknown",""
"Disable merging of local Microsoft Defender Firewall rules with group policy firewall rules for the Public profile","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Fix Microsoft Defender for Endpoint sensor data collection in macOS","Device","Config","MDATP","10","Core","Unknown","Unknown",""
"Fix Microsoft Defender for Endpoint impaired communications in macOS","Device","Config","MDATP","10","Core","Unknown","Unknown",""
"Set minimum password length to 15 or more characters in macOS","Device","Config","MDATP","6","Core","Unknown","Unknown",""
"Set 'Enforce password history' to '24 or more password(s)' in macOS","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Set 'Maximum password age' to '90 or fewer days, but not 0' in macOS","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Set account lockout threshold to 5 or lower in macOS","Device","Config","MDATP","7","Core","Unknown","Unknown",""
"Turn on Firewall in macOS","Device","Config","MDATP","10","Core","Unknown","Unknown",""
"Enable Gatekeeper in macOS","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Enable System Integrity Protection (SIP) in macOS","Device","Config","MDATP","7","Core","Unknown","Unknown",""
"Enable FileVault Disk Encryption in macOS","Device","Config","MDATP","7","Core","Unknown","Unknown",""
"Ensure screensaver is set to start in 20 minutes or less in macOS","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Secure Home Folders in macOS","Device","Config","MDATP","6","Core","Unknown","Unknown",""
"Turn on Microsoft Defender Antivirus real-time protection in macOS","Device","Config","MDATP","10","Core","Unknown","Unknown",""
"Turn on Microsoft Defender Antivirus PUA protection in block mode in macOS","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Turn on Tamper Protection for MacOS","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Enable Microsoft Defender Antivirus real-time behavior monitoring in macOS","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable Microsoft Defender Antivirus cloud-delivered protection in macOS","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Update Microsoft Defender Antivirus definitions in macOS","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Disable merging of local Microsoft Defender Firewall connection rules with group policy firewall rules for the Public profile","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable 'Apply UAC restrictions to local accounts on network logons'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable SMBv1 client driver","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable SMBv1 server","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable 'Network access: Let Everyone permissions apply to anonymous users'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable 'WDigest Authentication'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable 'Installation and configuration of Network Bridge on your DNS domain network'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable 'Require domain users to elevate when setting a network's location'","Device","Config","MDATP","2","Core","Unknown","Unknown",""
"Prohibit use of Internet Connection Sharing on your DNS domain network","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Fix Microsoft Defender for Endpoint sensor data collection for Linux","Device","Config","MDATP","10","Core","Unknown","Unknown",""
"Fix Microsoft Defender for Endpoint impaired communications for Linux","Device","Config","MDATP","10","Core","Unknown","Unknown",""
"Unrestricted Access Accounts for Linux","Device","Config","MDATP","6","Core","Unknown","Unknown",""
"Turn on Microsoft Defender Antivirus real-time protection for Linux","Device","Config","MDATP","10","Core","Unknown","Unknown",""
"Turn on Microsoft Defender Antivirus PUA protection in block mode for Linux","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Turn on Microsoft Defender Antivirus Tamper Protection for Linux","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Enable Microsoft Defender Antivirus real-time behavior monitoring for Linux","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable Microsoft Defender Antivirus cloud-delivered protection for Linux","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Update Microsoft Defender Antivirus definitions for Linux","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Set 'Minimum PIN length for startup' to '6 or more characters'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable 'Microsoft Defender for Endpoint Plug-in for WSL'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Turn off custom kernel/commandline in Windows Subsystem for Linux","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable 'Require additional authentication at startup'","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable 'Configure Offer Remote Assistance'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Restrict anonymous access to named pipes and Shares","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable 'Store LAN Manager hash value on next password change'","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable 'Always install with elevated privileges'","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable 'Autoplay for non-volume devices'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable 'Anonymous enumeration of SAM accounts'","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable 'Autoplay' for all drives","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Set default behavior for 'AutoRun' to 'Enabled: Do not execute any autorun commands'","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Enable 'Limit local account use of blank passwords to console logon only'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Set LAN Manager authentication level to 'Send NTLMv2 response only. Refuse LM & NTLM'","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable 'Allow Basic authentication' for WinRM Client","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable 'Allow Basic authentication' for WinRM Service","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable Flash on Adobe Reader DC","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable JavaScript on Adobe Reader DC","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable Flash on Adobe Acrobat Pro XI","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable JavaScript on Adobe Acrobat Pro XI","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable running or installing downloaded software with invalid signature","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Block Flash activation in Office documents","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Set IPv6 source routing to highest protection","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable IP source routing","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable Explorer Data Execution Prevention (DEP)","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Block outdated ActiveX controls for Internet Explorer","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable Solicited Remote Assistance","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable Anonymous enumeration of shares","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Enable scanning of removable drives during a full scan","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Enable 'Local Machine Zone Lockdown Security'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable Microsoft Defender Antivirus email scanning","Device","Config","MDATP","9","Core","Unknown","Unknown",""
"Enable Microsoft Defender Antivirus real-time behavior monitoring","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable Microsoft Defender Antivirus scanning of downloaded files and attachments","Device","Config","MDATP","10","Core","Unknown","Unknown",""
"Disable the local storage of passwords and credentials","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable sending unencrypted password to third-party SMB servers","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable 'Microsoft network client: Digitally sign communications (always)'","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Enable 'Network Protection'","Device","Config","MDATP","8","Core","Unknown","Unknown",""
"Disable JavaScript on Adobe DC","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable JavaScript on Adobe Reader 2017","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Disable JavaScript on Adobe Acrobat 2017","Device","Config","MDATP","5","Core","Unknown","Unknown",""
"Ensure 'Self service password reset enabled' is set to 'All'","Identity","Config","AzureAD","1","Defense In Depth","Moderate","Moderate","Password Cracking; Account Breach"
"Enable Microsoft Entra ID Identity Protection sign-in risk policies","Identity","Config","AzureAD","7","Advanced","Moderate","Moderate","Password Cracking; Account Breach"
"Block OneDrive for Business sync from unmanaged devices","Apps","Config","SPO","3","Core","Unknown","Unknown","Data Exfiltration"
"Ensure SharePoint external sharing is managed through domain whitelist/blacklists","Apps","Config","SPO","3","Core","Unknown","Unknown","Data Exfiltration; Account breach"
"Ensure that SharePoint guest users cannot share items they don't own","Identity","Config","SPO","3","Core","Unknown","Unknown","Data Exfiltration"
"Sign out inactive users in SharePoint Online","Identity","Config","SPO","1","Core","Unknown","Unknown",""
"Ensure modern authentication for SharePoint applications is required","Identity","Config","SPO","1","Core","Unknown","Unknown",""
"Ensure that Sways cannot be shared with people outside of your organization","Apps","Config","SWAY","3","Core","Unknown","Unknown","Data Exfiltration; Account breach"
"Enable Microsoft Entra ID Identity Protection user risk policies","Identity","Config","AzureAD","7","Advanced","Moderate","Moderate","Password Cracking; Account Breach"
